wikidata_id,xeno_canto_id
Q27074900,Dendropicos-obsoletus
Q1269889,Rhytipterna-holerythra
Q620443,Morphnus-guianensis
Q596917,Leucophaeus-fuliginosus
Q1586476,Vireo-solitarius
Q3315267,Anthus-brachyurus
Q168677,Aegypius-monachus
Q62395566,Aethomyias-spilodera
Q31617,Rostratula-benghalensis
Q27075762,Akialoa-ellisiana
Q1305548,Oreocharis-arfaki
Q776555,Pooecetes-gramineus
Q649024,Merops-bullockoides
Q490294,Certhia americana
Q1588883,Enicurus-leschenaulti
Q548024,Phalacrocorax-lucidus
Q1265989,Ninox-ios
Q1301996,Poecilodryas-cerviniventris
Q1273813,Campethera-abingoni
Q788836,Erythropitta-kochi
Q246468,Pseudochelidon-eurystomina
Q1260809,Phacellodomus-rufifrons
Q3090715,Zoothera-margaretae
Q26248,Ramphocelus-nigrogularis
Q3306590,Merops-mentalis
Q1081105,Pericrocotus-erythropygius
Q18120708,Scytalopus-gonzagai
Q3181482,Symposiachrus-leucurus
Q27074693,Zentrygon-chiriquensis
Q10684448,Ptilinopus-alligator
Q1269049,Sternula-superciliaris
Q507590,Treron-sphenurus
Q27074687,Zentrygon-albifacies
Q1433119,Amaurospiza-moesta
Q3043686,Minla-ignotincta
Q610194,Pipreola-aureopectus
Q1272510,Macropygia-mackinlayi
Q1588522,Bangsia-rothschildi
Q1844461,Myzomela-vulnerata
Q3727131,Calamanthus-montanellus
Q1307860,Stachyridopsis-pyrrhops
Q19876015,Northiella-narethae
Q221422,Myiarchus-ferox
Q2668181,Turdoides-hartlaubii
Q1259524,Megalaima-franklinii
Q1274102,Hylophylax-naevioides
Q1304653,Muscicapa-boehmi
Q589171,Eudocimus-albus
Q538602,Tangara-seledon
Q2600551,Poliolais-lopezi
Q1589557,Riparia-cincta
Q21127307,Corythornis-cristatus
Q775281,Oreornis-chrysogenys
Q1072916,Stercorarius-chilensis
Q2226171,Onychognathus-neumanni
Q569758,Lorius-lory
Q10808426,Prinia-superciliaris
Q3726845,Carpodacus-dubius
Q126167,Gypaetus-barbatus
Q1923708,Compsospiza-garleppi
Q578813,Camptorhynchus-labradorius
Q2745651,Acrocephalus-newtoni
Q512061,Patagioenas-fasciata
Q3131786,Puffinus-newelli
Q1308362,Symposiachrus-menckei
Q257006,Cereopsis-novaehollandiae
Q2606563,Cyanomitra-veroxii
Q1587496,Acrocephalus-kerearako
Q28505,Sterna-sumatrana
Q3056159,Passer-hemileucus
Q2668509,Nesillas-longicaudata
Q966961,Strepera-graculina
Q632066,Alectura-lathami
Q595838,Dendrexetastes-rufigula
Q916745,Anabathmis-reichenbachii
Q1268100,Ptilinopus-dupetithouarsii
Q790635,Anorrhinus-tickelli
Q1187252,Pipreola-whitelyi
Q714093,Columba-jouyi
Q125895,Certhia brachydactyla
Q2669773,Anthus-sylvanus
Q659742,Myiotheretes-striaticollis
Q613939,Amazona-oratrix
Q783540,Pheucticus-tibialis
Q1259290,Ptilinopus-insolitus
Q1588839,Cyclarhis-nigrirostris
Q841126,Empidonax-albigularis
Q1868513,Dicaeum-anthonyi
Q1269775,Picus-vittatus
Q221758,Otus-hartlaubi
Q637143,Microbates-cinereiventris
Q12256034,Cyornis-glaucicomans
Q1976187,Terpsiphone-cyanescens
Q1073630,Phaetusa-simplex
Q591987,Polyplectron-napoleonis
Q1301531,Cacicus-uropygialis
Q3729668,Platysteira-concreta
Q1267961,Scytalopus-schulenbergi
Q623194,Larus-crassirostris
Q127880,Pterocles-quadricinctus
Q1589845,Trichothraupis-melanops
Q1047971,Catharus-fuscescens
Q27074575,Pternistis-nobilis
Q1302403,Dicaeum-aeneum
Q1271412,Synallaxis-gujanensis
Q694319,Scolopax-minor
Q1270963,Knipolegus-orenocensis
Q509595,Stelgidillas-gracilirostris
Q3281645,Ceuthmochares-australis
Q3356705,Ortalis-squamata
Q1048770,Amazona-collaria
Q1300381,Ninox-sumbaensis
Q21397518,Ceyx-gentianus
Q1590088,Niltava-sundara
Q2226864,Prinia-molleri
Q28913201,Phylloscopus-castaniceps
Q738666,Falco-chicquera
Q12252779,Acrocephalus-percernis
Q916025,Melipotes-gymnops
Q840098,Elminia-albicauda
Q3726892,Spelaeornis-kinneari
Q1586220,Oriolus-tenuirostris
Q3136341,Progne-dominicensis
Q1263283,Phaethornis-subochraceus
Q264142,Circaetus-pectoralis
Q848772,Aphelocoma-californica
Q532125,Setophaga-angelae
Q3142836,Phaenicophilus-poliocephalus
Q1923059,Terpsiphone-rufocinerea
Q206668,Spheniscus-mendiculus
Q19058,Bonasa-umbellus
Q2668209,Enicurus-maculatus
Q852440,Ceratogymna-elata
Q1052022,Estrilda-rufibarba
Q3116434,Tachyphonus-rufus
Q1262955,Chlorostilbon-lucidus
Q1586082,Acanthornis-magna
Q753746,Psittacula-eupatria
Q27075772,Loxops-mana
Q1313892,Muscicapa-ferruginea
Q1259223,Inezia-tenuirostris
Q1318191,Amytornis-housei
Q920780,Ammoperdix-griseogularis
Q638019,Aegolius-acadicus
Q1265206,Chaetocercus-mulsant
Q74075,Aethopyga-eximia
Q757121,Sylvia-conspicillata
Q1277405,Tolmomyias-traylori
Q1260867,Antrostomus-sericocaudatus
Q27075489,Locustella-alishanensis
Q1588635,Vireo-nelsoni
Q15707900,Knipolegus-cabanisi
Q28106789,Mareca-falcata
Q12255855,Cisticola-marginatus
Q1308712,Lepidothrix-iris
Q25882,Anser-anser
Q1067817,Geotrygon-saphirina
Q665642,Falco-longipennisr
Q19027,Coccyzus-erythropthalmus
Q630658,Serinus-nigriceps
Q28106921,Mareca-sibilatrix
Q27075951,Myiothlypis-nigrocristata
Q997687,Prosobonia-leucoptera
Q863166,Apalharpactes-reinwardtii
Q1587918,Cyanolyca-armillata
Q1266674,Otus-madagascariensis
Q3136313,Riparia-diluta
Q12256224,Dicrurus-lophorinus
Q1302446,Serinus-alario
Q1275458,Coua-serriana
Q472299,Eupherusa-eximia
Q657815,Aplonis-opaca
Q728235,Delichon-dasypus
Q282809,Cyanoramphus-erythrotis
Q777185,Sericulus-aureus
Q944579,Sitta-solangiae
Q386116,Centropus-superciliosus
Q650369,Myiarchus-cinerascens
Q61968114,Anthus-ruficollis
Q1274883,Claravis-geoffroyi
Q31874414,Illadopsis-distans
Q2669185,Cinnyris-bifasciatus
Q1935552,Melozone-albicollis
Q1269260,Asthenes-coryi
Q27074695,Zentrygon-goldmani
Q607794,Saltator-striatipectus
Q568863,Ridgwayia-pinicola
Q62086222,Pterorhinus-perspicillatus
Q1308335,Magumma-parva
Q26833985,Psilopogon-asiaticus
Q1310306,Ploceus-burnieri
Q27075866,Spinus-atriceps
Q669634,Rhynochetos-jubatus
Q12255627,Campylorhynchus-humilis
Q2739638,Monticola-gularis
Q690946,Lalage-atrovirens
Q805774,Icterus-galbula
Q276196,Procellaria-westlandica
Q515035,Eunymphicus-cornutus
Q18766,Rynchops-flavirostris
Q28807860,Chamaetylas-poliocephala
Q2226317,Napothera-marmorata
Q1078580,Chamaepetes-goudotii
Q1263571,Loriculus-sclateri
Q838793,Halcyon-senegalensis
Q27076014,Cacicus-oseryi
Q580007,Pyrrhura-orcesi
Q1591254,Eumyias-thalassinus
Q1930568,Sheppardia-lowei
Q62080761,Pterorhinus-pectoralis
Q2672958,Turdoides-nipalensis
Q1268802,Glaucidium-minutissimum
Q1266868,Furnarius-torridus
Q770366,Turdus-infuscatus
Q2380180,Geothlypis-auricularis
Q1263217,Piculus-litae
Q1588229,Campylorhynchus-fasciatus
Q1084570,Florisuga-mellivora
